model_path: results/models/patch_model_best.pth
model_type: patch
accuracy: 0.1398
precision: 0.0539
recall: 0.1398
f1_score: 0.0721
loss: 3.8673

Class report:
  Class 25: precision=0.0000, recall=0.0000, f1-score=0.0000, support=6.0
  Class 26: precision=0.0000, recall=0.0000, f1-score=0.0000, support=7.0
  Class 27: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 28: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 29: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 30: precision=0.0000, recall=0.0000, f1-score=0.0000, support=15.0
  Class 31: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 32: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 33: precision=0.0000, recall=0.0000, f1-score=0.0000, support=20.0
  Class 34: precision=0.0000, recall=0.0000, f1-score=0.0000, support=21.0
  Class 35: precision=0.0000, recall=0.0000, f1-score=0.0000, support=15.0
  Class 36: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 37: precision=0.0000, recall=0.0000, f1-score=0.0000, support=29.0
  Class 38: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 39: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 40: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 41: precision=0.0000, recall=0.0000, f1-score=0.0000, support=8.0
  Class 42: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 43: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 44: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 45: precision=0.0000, recall=0.0000, f1-score=0.0000, support=16.0
  Class 46: precision=0.0000, recall=0.0000, f1-score=0.0000, support=17.0
  Class 47: precision=0.0000, recall=0.0000, f1-score=0.0000, support=24.0
  Class 48: precision=0.0000, recall=0.0000, f1-score=0.0000, support=13.0
  Class 49: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 50: precision=0.0435, recall=0.0769, f1-score=0.0556, support=26.0
  Class 51: precision=0.0000, recall=0.0000, f1-score=0.0000, support=8.0
  Class 52: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 53: precision=0.0588, recall=0.0286, f1-score=0.0385, support=35.0
  Class 54: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 55: precision=0.0000, recall=0.0000, f1-score=0.0000, support=14.0
  Class 56: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 57: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 58: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 59: precision=0.2391, recall=0.6377, f1-score=0.3478, support=69.0
  Class 60: precision=0.0000, recall=0.0000, f1-score=0.0000, support=20.0
  Class 61: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 62: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 63: precision=0.0000, recall=0.0000, f1-score=0.0000, support=18.0
  Class 64: precision=0.0000, recall=0.0000, f1-score=0.0000, support=16.0
  Class 65: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 66: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 67: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 68: precision=0.0000, recall=0.0000, f1-score=0.0000, support=19.0
  Class 69: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 70: precision=0.0000, recall=0.0000, f1-score=0.0000, support=6.0
  Class 71: precision=0.0000, recall=0.0000, f1-score=0.0000, support=4.0
  Class 72: precision=0.0000, recall=0.0000, f1-score=0.0000, support=9.0
  Class 73: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 74: precision=0.1220, recall=0.5538, f1-score=0.2000, support=65.0
  Class 75: precision=0.0000, recall=0.0000, f1-score=0.0000, support=1.0
  Class 76: precision=0.0000, recall=0.0000, f1-score=0.0000, support=8.0
  Class 77: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 78: precision=0.0000, recall=0.0000, f1-score=0.0000, support=16.0
  Class 79: precision=0.1515, recall=0.2778, f1-score=0.1961, support=36.0
  Class 80: precision=0.0000, recall=0.0000, f1-score=0.0000, support=14.0
  Class 81: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 82: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 83: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 84: precision=0.0855, recall=0.2439, f1-score=0.1266, support=41.0
  Class 85: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 86: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 87: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 88: precision=0.0000, recall=0.0000, f1-score=0.0000, support=11.0
  Class 89: precision=0.0000, recall=0.0000, f1-score=0.0000, support=10.0
  Class 90: precision=0.1209, recall=0.3438, f1-score=0.1789, support=32.0
  Class 91: precision=0.0000, recall=0.0000, f1-score=0.0000, support=7.0
  Class 92: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 93: precision=0.0000, recall=0.0000, f1-score=0.0000, support=3.0
  Class 94: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 95: precision=0.0000, recall=0.0000, f1-score=0.0000, support=6.0
  Class 96: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 97: precision=0.0000, recall=0.0000, f1-score=0.0000, support=12.0
  Class 98: precision=0.0000, recall=0.0000, f1-score=0.0000, support=2.0
  Class 99: precision=0.0000, recall=0.0000, f1-score=0.0000, support=5.0
  Class 100: precision=0.0000, recall=0.0000, f1-score=0.0000, support=23.0
